session_id,session_status,year,age,raceomb,sex,att,att_7,country,countrycit,countryres,edu,politicalid,STATE,sexnum,countrycitnum,politics,education,racenum,filter_$,implicit,explicit
12374229,C,2009,NA,NA,.,5,5,,.,.,NA,NA,,NA,NA,NA,NA,NA,1,0.2814134225436999,5
9456889,C,2008,40,6,f,5,5,,US,US,9,7,MI,1,0,7,9,6,1,0.795325421291069,5
11646155,C,2009,19,8,f,4,4,,NZ,NZ,7,6,,1,1,6,7,8,1,0.4772082653587474,4
2616841515,C,2015,NA,6,.,5,5,,1,1,NA,6,WI,0,0,6,5,6,1,0.7596002382196698,5
2618062632,C,2015,NA,6,.,4,4,,1,74,NA,7,,0,0,7,10,6,1,0.07697710790584028,4
18450148,C,2012,18,6,f,5,5,,US,US,4,3,WI,1,0,3,4,6,1,0.6604124219190282,5
7094578,C,2007,20,6,f,4,4,,US,US,6,NA,OH,1,0,NA,6,6,1,0.19110891247375333,4
8551317,C,2008,18,6,f,4,4,,US,US,5,6,AL,1,0,6,5,6,1,0.30525447807164957,4
8645226,C,2008,50,6,f,4,4,,US,US,4,4,MO,1,0,4,4,6,1,-0.5329244320662587,4
20833500,C,2014,22,8,m,4,4,,US,US,5,4,WA,0,0,4,5,8,1,-0.31745477898990493,4
15244006,C,2011,21,2,m,6,6,,US,US,5,3,CA,0,0,3,5,2,1,1.042611635257452,6
7092437,C,2007,17,6,m,4,4,,DE,DE,3,4,IN,0,1,4,3,6,1,-0.14258503698031993,4
21018084,C,2014,17,6,m,6,6,,US,US,3,1,GA,0,0,1,3,6,1,0.4888658894831503,6
15518714,C,2011,41,5,f,4,4,,US,US,5,4,LA,1,0,4,5,5,1,0.21838361154758137,4
20088792,C,2013,52,6,f,4,4,,US,US,7,2,FL,1,0,2,7,6,1,0.2716723605300925,4
11969030,C,2009,47,6,m,4,4,,US,US,6,1,PA,0,0,1,6,6,1,-0.33064287451203844,4
14251017,C,2010,19,5,f,4,4,,US,US,5,5,NJ,1,0,5,5,5,1,-0.2552931899617061,4
2613863974,C,2014,16,9,f,5,5,,US,US,3,4,MA,1,0,4,3,9,1,1.0806491583561804,5
9814133,C,2008,18,6,f,5,5,,US,US,3,4,IN,1,0,4,3,6,1,0.26215574639769534,5
7373125,C,2007,19,6,m,5,5,,US,US,6,2,CA,0,0,2,6,6,1,0.1342756919676381,5
9083432,C,2008,18,6,m,4,4,,US,US,4,4,NJ,0,0,4,4,6,1,0.20340621709321616,4
11812196,C,2009,27,6,m,6,6,,US,US,5,4,IL,0,0,4,5,6,1,0.6200736477717604,6
19108298,C,2013,16,6,f,3,3,,FI,FI,3,4,,1,1,4,3,6,1,-0.2713196555572759,3
10374427,C,2009,54,6,f,5,5,,US,US,13,7,,1,0,7,10,6,1,0.0558221285820928,5
5769167,C,2007,19,NA,m,6,6,,nu,US,5,NA,OH,0,1,NA,5,NA,1,0.4679123052999724,6
13507640,C,2010,22,8,m,4,4,,US,US,5,4,TX,0,0,4,5,8,1,-0.2370660137200245,4
6747360,C,2007,39,3,f,5,5,,IN,AE,6,4,WV,1,1,4,6,3,1,0.32369234530320434,5
10758248,C,2009,19,6,f,6,6,,US,US,5,4,WI,1,0,4,5,6,1,0.2430298460566272,6
10323026,C,2009,18,5,f,5,5,,US,US,5,4,IL,1,0,4,5,5,1,-0.3044705803820514,5
18879068,C,2013,19,6,f,4,4,,US,US,5,2,MO,1,0,2,5,6,1,0.6128106262726396,4
8837713,C,2008,34,6,m,4,4,,US,US,4,3,ME,0,0,3,4,6,1,0.19113283715648008,4
2614998949,C,2014,23,6,f,4,4,,US,US,6,7,NY,1,0,7,6,6,1,-0.02425793630586881,4
15192191,C,2011,17,8,f,4,4,,US,US,4,4,CA,1,0,4,4,8,1,0.13667332433019322,4
16200796,C,2011,53,6,m,4,4,,US,US,7,6,WA,0,0,6,7,6,1,0.44724416605101514,4
19635161,C,2013,22,6,m,4,4,,US,US,7,4,OH,0,0,4,7,6,1,0.9479053860727583,4
20237794,C,2013,20,6,m,5,5,,US,US,6,6,MS,0,0,6,6,6,1,0.30704478414972025,5
6322975,C,2007,19,2,f,5,5,,US,US,5,2,CA,1,0,2,5,2,1,-0.2714287282490426,5
13450283,C,2010,21,6,f,6,6,,US,US,5,4,TX,1,0,4,5,6,1,0.714461635972677,6
12750199,C,2010,21,6,f,5,5,,US,US,7,1,AL,1,0,1,7,6,1,1.0914802940564639,5
10962839,C,2009,19,6,m,4,4,,IE,IE,5,7,,0,1,7,5,6,1,0.6404495287982319,4
15891752,C,2011,21,6,f,4,4,,US,US,6,4,WV,1,0,4,6,6,1,0.32514414046996015,4
16793e3,C,2012,28,6,f,5,5,,US,US,7,4,MN,1,0,4,7,6,1,0.773563743931641,5
20284916,C,2013,35,6,m,5,5,,US,US,9,1,MA,0,0,1,9,6,1,0.7580506268338882,5
20947385,C,2014,29,6,m,5,5,,US,US,12,4,IL,0,0,4,10,6,1,0.9566676745690466,5
5697654,C,2007,30,8,f,4,4,,US,US,5,4,TX,1,0,4,5,8,1,0.7292596849528505,4
2615555870,C,2014,45,6,f,4,4,,US,US,8,7,OR,1,0,7,8,6,1,-0.5206227439325144,4
9888899,C,2008,19,6,m,4,4,,US,US,7,6,MN,0,0,6,7,6,1,0.3875727884576211,4
5771427,C,2007,13,2,f,6,6,,US,US,2,1,FL,1,0,1,2,2,1,0.7418619411702999,6
7000304,C,2007,18,6,f,4,4,,US,US,4,5,,1,0,5,4,6,1,-0.7135326719987308,4
11615696,C,2009,57,6,f,4,4,,US,US,12,6,NC,1,0,6,10,6,1,-0.38596078365565584,4
13077058,C,2010,28,6,m,6,6,,ZA,ZA,9,5,,0,1,5,9,6,1,0.4526459660229145,6
13160043,C,2010,17,6,f,4,4,,US,US,4,4,MI,1,0,4,4,6,1,-0.386288698987452,4
2620299326,C,2015,NA,6,.,4,4,,1,1,NA,6,PA,0,0,6,3,6,1,0.16773786983340583,4
2614768435,C,2014,25,6,f,5,5,,US,US,8,6,CA,1,0,6,8,6,1,0.21407219548225645,5
13164118,C,2010,20,NA,f,5,5,,US,.,5,7,MA,1,0,7,5,NA,1,0.7222940856112335,5
18632007,C,2013,16,6,f,4,4,,US,US,3,4,,1,0,4,3,6,1,0.34776001840711385,4
2618800676,C,2015,NA,NA,.,6,6,,39,39,NA,NA,,0,1,NA,3,NA,1,0.8159560903124417,6
18157234,C,2012,17,6,f,6,6,,US,US,3,2,VA,1,0,2,3,6,1,0.8595005401670064,6
10407821,C,2009,44,5,f,4,4,,US,US,7,3,RI,1,0,3,7,5,1,0.08430222544266075,4
11333414,C,2009,23,6,f,5,5,,US,US,8,7,IL,1,0,7,8,6,1,0.6441322183015745,5
14605703,C,2011,36,6,f,4,4,,US,US,5,5,AZ,1,0,5,5,6,1,0.6548373154646854,4
15379536,C,2011,21,6,f,5,5,,US,US,5,4,NJ,1,0,4,5,6,1,0.896220030428281,5
11414035,C,2009,49,6,m,7,7,,US,US,10,1,CA,0,0,1,10,6,1,0.5106311335059581,7
19062155,C,2013,18,6,f,5,5,,US,US,5,6,IL,1,0,6,5,6,1,0.510846271137802,5
19942904,C,2013,27,6,m,4,4,,US,US,4,5,OR,0,0,5,4,6,1,0.5022867255652186,4
5718252,C,2007,37,6,f,4,4,,US,US,7,2,TX,1,0,2,7,6,1,0.00445327898222217,4
2615271025,C,2014,56,5,m,3,3,,US,US,8,6,NE,0,0,6,8,5,1,0.42903205182435067,3
13882351,C,2010,23,5,m,3,3,,US,US,6,4,TN,0,0,4,6,5,1,-0.6293811829578957,3
10043634,C,2009,21,5,m,3,3,,US,US,5,6,OH,0,0,6,5,5,1,0.40203609500619375,3
12093825,C,2009,23,6,m,4,4,,US,US,6,4,CA,0,0,4,6,6,1,0.1590985592954623,4
12828244,C,2010,25,6,f,6,6,,US,US,5,5,AL,1,0,5,5,6,1,0.9089111825426491,6
2618929266,C,2015,NA,6,.,4,4,,1,1,NA,4,MO,1,0,4,5,6,1,-0.45773202765330545,4
15766162,C,2011,22,6,f,7,7,,US,US,7,2,CA,1,0,2,7,6,1,0.9736663566871364,7
2615205155,C,2014,22,6,f,4,4,,US,US,10,6,DC,1,0,6,10,6,1,0.5451660734424856,4
7094718,C,2007,19,5,f,4,4,,US,US,5,4,AL,1,0,4,5,5,1,-0.29364871800908676,4
2614840629,C,2014,25,6,f,4,4,,US,US,9,6,WI,1,0,6,9,6,1,0.6738786413307435,4
2616112771,C,2015,53,8,m,4,4,,US,US,7,4,MI,0,0,4,7,8,1,0.5012571049564062,4
11848059,C,2009,26,6,m,4,4,,US,US,5,4,WI,0,0,4,5,6,1,0.2071175678287902,4
12149410,C,2009,14,6,f,4,4,,US,US,3,4,,1,0,4,3,6,1,0.13411357826560977,4
20952040,C,2014,20,6,m,4,4,,US,US,5,6,,0,0,6,5,6,1,0.08532726445084093,4
12838018,C,2010,33,6,f,4,4,,US,US,5,4,ND,1,0,4,5,6,1,0.23366918343652684,4
2619704829,C,2015,NA,6,.,4,4,,1,1,NA,6,,1,0,6,5,6,1,0.4898621553946509,4
17745811,C,2012,59,6,f,4,4,,US,US,5,7,AR,1,0,7,5,6,1,0.5358641459822943,4
17379388,C,2012,16,6,f,4,4,,US,US,3,2,,1,0,2,3,6,1,0.4866998021345613,4
15823528,C,2011,19,6,f,6,6,,US,US,4,2,NE,1,0,2,4,6,1,-0.04486189012791786,6
2615708906,C,2014,25,6,m,5,5,,US,US,7,6,KY,0,0,6,7,6,1,0.7442357156742827,5
9799416,C,2008,24,6,f,5,5,,US,US,6,4,MA,1,0,4,6,6,1,0.6951209079817964,5
11125912,C,2009,25,6,m,4,4,,DE,US,9,5,NY,0,1,5,9,6,1,0.778242677182751,4
8569666,C,2008,17,6,m,4,4,,US,US,4,4,WI,0,0,4,4,6,1,-0.569384988881843,4
2617843233,C,2015,NA,6,.,4,4,,1,1,NA,7,MO,1,0,7,7,6,1,0.49768318433851694,4
9085002,C,2008,24,6,f,4,4,,US,US,8,2,ID,1,0,2,8,6,1,0.1311276977026244,4
2616664183,C,2015,21,6,f,4,4,,US,US,5,4,CT,1,0,4,5,6,1,0.5197366238466039,4
14796615,C,2011,18,3,m,5,5,,US,US,3,4,CO,0,0,4,3,3,1,1.0007547983880691,5
13165930,C,2010,21,6,m,4,4,,US,US,7,4,NY,0,0,4,7,6,1,0.47856673548166895,4
15406663,C,2011,27,6,m,7,7,,US,US,8,2,PA,0,0,2,8,6,1,0.6585054331173763,7
19420843,C,2013,19,5,f,4,4,,US,US,4,4,NC,1,0,4,4,5,1,0.1128262476188912,4
10351923,C,2009,31,4,m,4,4,,US,US,7,6,NY,0,0,6,7,4,1,0.6327538067400851,4
20632194,C,2013,20,6,f,4,4,,US,US,5,4,OH,1,0,4,5,6,1,0.25538849491086524,4
14161754,C,2010,25,2,m,6,6,,KR,US,5,4,IA,0,1,4,5,2,1,1.021888834228816,6
5613880,C,2007,42,6,f,7,7,,UK,UK,6,6,,1,1,6,6,6,1,0.9661640589556204,7
